Bassett, Richard 
Bland, Theodorick 
Burke, Aedanus 
Carroll, Daniel 
Clymer, George 
Contee, Benjamin 
Dalton, Tristram 
Elmer, Jonathan 
Few, William 
Floyd, William 
Gale, George 
Grayson, William 
Grout, Jonathan 
Hawkins, Benjamin 
Huntington, Benjamin 
Izard, Ralph 
Johnson, William Samuel
Johnston, Samuel 
Lee, Richard Henry
Maclay, William 
Mathews, George 
Morris, Robert 
Partridge, George 
Paterson, William 
Smith, William 
Stone, Michael Jenifer
Van Rensselaer, Jeremiah 
Wynkoop, Henry 
Dickinson, Philemon 
Walker, John 
Ashe, John Baptista
Barnwell, Robert 
Burr, Aaron 
Cabot, George 
Carroll, Charles 
Ellsworth, Oliver 
Gerry, Elbridge 
Huger, Daniel 
Jacobs, Israel 
Key, Philip 
Read, George 
Robinson, Moses 
Schoonmaker, Cornelius Corneliusen
Seney, Joshua 
Sheredine, Upton 
Sherman, Roger 
Silvester, Peter 
Steele, John 
Sterett, Samuel 
Sturges, Jonathan 
Tucker, Thomas Tudor
Wayne, Anthony 
White, Alexander 
Williamson, Hugh 
Willis, Francis 
Edwards, John 
Potts, Richard 
Armstrong, James 
Beatty, John 
Boudinot, Elias 
Bourne, Shearjashub 
Bradford, William 
Cadwalader, Lambert 
Carnes, Thomas Petters
Clark, Abraham 
Cobb, David 
Coffin, Peleg 
Dawson, William Johnson
Edwards, Benjamin 
Fitzsimons, Thomas 
Forrest, Uriah 
Frelinghuysen, Frederick 
Gillon, Alexander 
Gordon, James 
Griffin, Samuel 
Holten, Samuel 
Irvine, William 
Learned, Amasa 
Lee, Richard Bland
Martin, Alexander 
McDowell, Joseph 
Mebane, Alexander 
Mercer, John Francis
Mitchell, Stephen Mix
Montgomery, William 
Neville, Joseph 
Niles, Nathaniel 
Pickens, Andrew 
Scott, Thomas 
Strong, Caleb 
Talbot, Silas 
Tredwell, Thomas 
Van Gaasbeck, Peter 
Vining, John 
Wadsworth, Jeremiah 
Walker, Francis 
Ward, Artemas 
Watts, John 
Williams, Benjamin 
Wingate, Paine 
Tazewell, Henry 
Walton, George 
Ames, Fisher 
Bingham, William 
Bloodworth, Timothy 
Bourne, Benjamin 
Buck, Daniel 
Coles, Isaac 
Crabb, Jeremiah 
Dearborn, Henry 
Duvall, Gabriel 
Earle, Samuel 
Gilbert, Ezekiel 
Greenup, Christopher 
Gunn, James 
Hancock, George 
Hathorn, John 
Heath, John 
Henderson, Thomas 
Henry, John 
Langdon, John 
Leonard, George 
Lyman, William 
Marshall, Humphrey 
Muhlenberg, Frederick Augustus Conrad
Murray, William Vans
Orr, Alexander Dalrymple
Page, John 
Paine, Elijah 
Patten, John 
Preston, Francis 
Read, Jacob 
Richards, John 
Rutherford, Robert 
Sherburne, John Samuel
Smith, Isaac 
Sprigg, Thomas 
Strudwick, William Francis
Swift, Zephaniah 
Tatom, Absalom 
Trumbull, Jonathan 
White, James 
Blount, William 
Goodhue, Benjamin 
Howard, John Eager
Hunter, John 
Laurance, John 
Tattnall, Josiah 
Allen, John 
Benton, Lemuel 
Bradbury, Theophilus 
Brooks, David 
Bryan, Nathan 
Bullock, Stephen 
Burges, Dempsey 
Chapman, John 
Chipman, Nathaniel 
Cochran, James 
Coit, Joshua 
Davenport, James 
Ege, George 
Foster, Theodore 
Freeman, Nathaniel 
Harrison, Carter Bassett
Hosmer, Hezekiah Lord
Latimer, Henry 
Lloyd, James 
Locke, Matthew 
Machir, James 
Mason, Stevens Thomson
Matthews, William 
McClenachan, Blair 
McDowell, Joseph 
Morgan, Daniel 
Parker, Isaac 
Ross, James 
Rutherfurd, John 
Schuyler, Philip John
Sinnickson, Thomas 
Sitgreaves, Samuel 
Smith, Jeremiah 
Smith, Nathaniel 
Smith, William 
Smith, William Loughton
Sprague, Peleg 
Swanwick, John 
Thomson, Mark 
Van Alen, John Evert
Williams, John 
Clayton, Joshua 
Hobart, John Sloss
North, William 
Watson, James 
Bartlett, Bailey 
Brace, Jonathan 
Brown, John 
Brown, John 
Christie, Gabriel 
Cocke, William 
Cooper, William 
Craik, William 
Davenport, Franklin 
Dayton, Jonathan 
Dent, George 
Dexter, Samuel 
Dickson, Joseph 
Edmond, William 
Eggleston, Joseph 
Evans, Thomas 
Freeman, Jonathan 
Gallatin, Albert 
Glen, Henry 
Goode, Samuel 
Goodrich, Elizur 
Gordon, William 
Greene, Ray 
Hartley, Thomas 
Havens, Jonathan Nicoll
Imlay, James Henderson
Jones, James 
Kittera, John Wilkes
Lee, Henry 
Linn, James 
Livermore, Samuel 
Lyman, Samuel 
Marshall, John 
McMillan, William 
Nicholas, John 
Nott, Abraham 
Page, Robert 
Parker, Josiah 
Pinckney, Thomas 
Platt, Jonas 
Powell, Leven 
Reed, John 
Sedgwick, Theodore 
Sewall, Samuel 
Spaight, Richard Dobbs
Thatcher, George 
Thomas, John Chew
Thomas, Richard 
Waln, Robert 
Foster, Dwight 
Hindman, William 
Morris, Gouverneur 
Bacon, John 
Bird, John 
Boude, Thomas 
Breckinridge, John 
Cabell, Samuel Jordan
Colhoun, John Ewing
Davis, Thomas Terry
Ellery, Christopher 
Elmendorf, Lucas Conrad
Fearing, Paul 
Foster, Abiel 
Greene, Thomas Marston
Grove, William Barry
Henderson, Archibald 
Hill, William Henry
Hunter, Narsworthy 
Jackson, George 
Jackson, James 
Johnson, Charles 
Jones, William 
Lee, Silas 
Lincoln, Levi 
Logan, George 
Mattoon, Ebenezer 
Morris, Lewis Richard
Morris, Thomas 
Muhlenberg, John Peter Gabriel
